Название материала,Издатель/автор,Ссылка,Тема
Handling Objections in Sales: The LAER Method Explained,Southwesternventures,https://southwesternventures.com/en/laer-method-sales-objections/,Работа с возражениями
Sales Objection Handling: Techniques to Close Deals (2026),SalesHive,https://saleshive.com/blog/sales-objection-handling-techniques-close,Работа с возражениями
Objection Handling: 5 Frameworks + 10 Scripts,Pitchbase,https://pitchbase.app/en/blog/objection-handling-complete-guide,Работа с возражениями
Objection handling: 44 common sales objections & how to respond,HubSpot,https://blog.hubspot.com/sales/handling-common-sales-objections,Работа с возражениями
33 Best Books on Pricing Strategy,Bigger Investing,https://www.biggerinvesting.com/best-books-on-pricing-strategy/,Переговоры о цене
Value-Based Pricing (книга Macdivitt/Wilkinson),Amazon,https://www.amazon.com/Value-Based-Pricing-Creating-Communicating-Capturing/dp/0071761683,Переговоры о цене
Excellence in Value-Based Selling,Pricing Society,https://publications.pricingsociety.com/excellence-in-value-based-selling/,Переговоры о цене
Sell With Story Workshop — Donald Miller,DigitalMarketer,https://www.digitalmarketer.com/lp/donald-miller-workshop/,Сторителлинг
How to Build a Storybrand and Connect with Customers,Deliberatedirections,https://deliberatedirections.com/building-a-storybrand-donald-miller/,Сторителлинг
Building a StoryBrand 2.0,StoryBrand,https://storybrand.com/building-a-storybrand-book-new/,Сторителлинг
Storytelling For Brand Strategy: A Framework That Works,Brandstrategysarah,https://www.brandstrategysarah.com/blog/how-stories-help-brand-strategy-lessons-from-donald-miller-s-building-a-story-brand,Сторителлинг
The 7-38-55 rule: Debunking the golden ratio of conversation,Big Think,https://bigthink.com/the-learning-curve/the-7-38-55-rule-debunking-the-golden-ratio-of-conversation/,Невербальная коммуникация
The Importance of Eye Contact for Effective Virtual Selling,David Meerman Scott,https://www.davidmeermanscott.com/blog/the-importance-of-eye-contact-for-effective-virtual-selling,Невербальная коммуникация
Eye contact and video-mediated communication: A review,ResearchGate,https://www.researchgate.net/publication/256970353_Eye_contact_and_video-mediated_communication_A_review,Невербальная коммуникация
B2B Cold Email Statistics 2026: Benchmarks & What Works Now,Martal Group,https://martal.ca/b2b-cold-email-statistics-lb/,Деловая переписка
Cold Email Statistics Based on Sending Over 20M Cold Emails,Woodpecker,https://woodpecker.co/blog/cold-email-statistics/,Деловая переписка
43 Cold Email Statistics to Skyrocket Your Response Rates,Mailmeteor,https://mailmeteor.com/cold-email/statistics,Деловая переписка
Cold email statistics: Key insights to improve your outreach strategy,Stripo,https://stripo.email/blog/cold-email-statistics-key-insights-to-improve-your-outreach-strategy/,Деловая переписка
What are B2B Cold Email Response Rates? (2026 Study),Belkins,https://belkins.io/blog/cold-email-response-rates,Деловая переписка
Cold Email Response Rates: B2B Benchmarks,Instantly,https://instantly.ai/blog/cold-email-reply-rate-benchmarks/,Деловая переписка
Good Sales Battlecard Examples: What Works and Why in 2026,Klue,https://klue.com/topics/good-sales-battlecard-examples,Знание продукта/конкурентов
7 Leading Platforms for Competitive Sales Enablement in 2026,Klue,https://klue.com/topics/leading-competitive-sales-enablement-platform,Знание продукта/конкурентов
5 Tips to Improve Your Sales Battlecards,Klue,https://klue.com/blog/5-tips-improve-sales-battlecards,Знание продукта/конкурентов
"Know, Say, Show: Battlecard Best Practices",Klue,https://klue.com/blog/battlecard-best-practices,Знание продукта/конкурентов
How to Create Effective Sales Battlecards That Win Deals in 2026,Klue,https://klue.com/topics/create-effective-sales-battlecards,Знание продукта/конкурентов
RAIN Group Books,Rain Sales Training,https://www.rainsalestraining.com/resources/books,Понимание рынка клиента
SNAP Selling (книга),Amazon,https://www.amazon.com/SNAP-Selling-Business-Frazzled-Customers/dp/1591844703,Понимание рынка клиента
Salesforce vs HubSpot vs NetSuite CRM: 2026 Comparison,BrokenRubik,https://www.brokenrubik.com/blog/crm-comparison-guide,CRM-системы
Salesforce vs HubSpot vs Pipedrive: CRM Comparison for Sales Teams (2026),Sybill,https://www.sybill.ai/blogs/salesforce-vs-hubspot-vs-pipedrive,CRM-системы
Pipedrive vs HubSpot: CRM Comparison for 2025,Routine Automation,https://routine-automation.com/blog/pipedrive-vs-hubspot,CRM-системы
HubSpot vs Pipedrive: Which CRM is right for you?,Avoma,https://www.avoma.com/blog/hubspot-vs-pipedrive,CRM-системы
"Сравнение CRM-систем Битрикс24, AmoCRM и Мегаплан",Nota / Notamedia,https://integrator.nota.media/blog/articles/sravnenie-crm-sistem-bitriks24-amocrm-i-megaplan-chto-vybrat-dlya-biznesa/,CRM-системы
AmoCRM vs Битрикс24: сравнение,CONVERSION,https://conversion.su/blog/amocrm-ili-bitrix24/,CRM-системы
Битрикс24 vs amoCRM: какую CRM выбрать в 2026,Albato,https://blog.albato.ru/bitrix24-vs-amocrm-sravnenie-crm/,CRM-системы
Что лучше — Amo CRM или Bitrix24,Delomatika,https://delomatika.ru/blog/amocrm-ili-bitriks24-sravnenie-crm-sistem/,CRM-системы
AmoCRM или Битрикс24 — сравнение функционала,Crm.ru,https://crm.ru/blog/sravnenie-amocrm-i-bitrix24/,CRM-системы
"What Is the Sales Velocity Formula? Calculate, Benchmark, Optimize",Apollo,https://www.apollo.io/insights/sales-velocity-formula,Аналитика продаж
Sales Pipeline Velocity Statistics: Why Deals That Close in 50 Days Win Twice as Often,Pixelwand CRM,https://www.pixelwand.io/blog/sales-pipeline-velocity-statistics,Аналитика продаж
"The State of B2B Sales in 2026: Win Rates, Pipeline & CAC Benchmarks",PipelineGrader,https://pipelinegrader.com/insights/b2b-pipeline-cac-benchmarks,Аналитика продаж
Sales Velocity: Free Calculator + 2026 Benchmarks,Gigradar,https://gigradar.io/blog/sales-velocity,Аналитика продаж
Sales Metrics Dashboard: 15 Essential KPIs to Track,Optifai,https://optif.ai/media/articles/sales-metrics-dashboard-15-kpis/,Аналитика продаж
"What Is Sales Velocity? Definition, Formula, and How to Improve It",Apollo,https://www.apollo.io/insights/what-is-sales-velocity,Аналитика продаж
Sales Engagement Platforms Compared: Outreach vs Salesloft vs Apollo vs Ghost,Growwithghost,https://www.growwithghost.io/blog/sales-engagement-platforms-compared-outreach-vs-salesloft-vs-apollo-vs-ghost-2024/,Автоматизация продаж
Outreach vs Salesloft vs Apollo in 2027 — comparison,Pulse RevOps,https://pulserevops.com/knowledge/q10820/reviews,Автоматизация продаж
The 5-minute rule: The golden rule of small business sales,Salesgem,https://salesgem.io/blog/5-minute-rule-speed-to-lead/,Тайм-менеджмент
"Lead Response Time: Every Study (MIT, HBR, Drift)",AINORA,https://ainora.lt/blog/lead-response-time-statistics-every-study-2026,Тайм-менеджмент
Understanding and motivating salesperson resilience,Springer (Marketing Letters),https://link.springer.com/article/10.1007/s11002-020-09552-6,Устойчивость к отказам
"Understanding Sales Burnout: Causes, Signs, and Solutions",Peaksalesrecruiting,https://www.peaksalesrecruiting.com/blog/sales-burnout/,Устойчивость к отказам
Understanding and Motivating Salesperson Resilience (репозиторий),Grand Valley State University,https://scholarworks.gvsu.edu/mkt_articles/5/,Устойчивость к отказам
The Power of Resilience in Sales: Overcoming Rejection with Sales Coaching,Tripuramultinational,https://tripuramultinational.com/what-we-think/articles/overcoming-rejection-of-setbacks-with-sales-coaching/,Устойчивость к отказам
How to Avoid Burnout in Sales Jobs,Get-recruited,https://www.get-recruited.co.uk/blog/2024/12/how-to-avoid-burnout-in-sales-jobs,Устойчивость к отказам
Social Connection Induces Cultural Contraction (weak ties),arXiv,https://arxiv.org/pdf/1807.10216,Нетворкинг
LinkedIn SSI: What Your Social Selling Index Score Really Means in 2026,Neal Schaffer,https://nealschaffer.com/linkedin-ssi-social-selling-index/,Нетворкинг
My Social Selling Index: Turn Your LinkedIn SSI Score Into Pipeline,Nrev,https://www.nrev.ai/blog/my-social-selling-index,Нетворкинг
Consumer Psychology Buying Decisions: 95% Are Emotional,Research and Metric,https://www.researchandmetric.com/blog/consumer-psychology-buying-decisions-emotional-factors/,B2C специфика
The Psychology of Impulse Buying: Understanding the Emotional Triggers,Medium,https://medium.com/@makemoneyogb/the-psychology-of-impulse-buying-understanding-the-emotional-triggers-that-drive-purchases-and-dac65f840126,B2C специфика
Applying the S-O-R model to explore impulsive buying behavior,NIH / NCBI,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12453796/,B2C специфика
"IMPULSE BUYING: TRIGGERS, PSYCHOLOGY, AND ...",IJNRD,https://ijnrd.org/papers/IJNRD2503396.pdf,B2C специфика
PSYCHOLOGICAL TRIGGERS BEHIND IMPULSE PURCHASES IN ONLINE SHOPPING,Reflections,https://reflections.live/articles/14501/psychological-triggers-behind-impulse-purchases-in-online-shopping-article-by-samriddhi-damani-21017-m8fl2zjq.html,B2C специфика
A comprehensive study on factors influencing online impulse buying behavior (Shopee),ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2405844024117744,B2C специфика
Ultimate Guide to Inbound vs Outbound SDR Metrics,Leads at Scale,https://leadsatscale.com/insights/ultimate-guide-to-inbound-vs-outbound-sdr-metrics,Холодные продажи vs inbound
The Role of Sales Development Representatives,SalesHive,https://saleshive.com/blog/sales-development-role-representatives-2025,Холодные продажи vs inbound
"SDR vs BDR: Key Differences, Salary & 2026 Benchmarks",Martal Group,https://martal.ca/sdr-vs-bdr/,Холодные продажи vs inbound
